"year"	"month"	"id"	"name"	"waterbody"	"Lat"	"Long"	"type"	"SAL"	"W.T"
2003	1	103070022	"Barth"	"Graben 44"	54.368420754341	12.7159304255493	"Freshwater"	0	5
2003	2	103070022	"Barth"	"Graben 44"	54.368420754341	12.7159304255493	"Freshwater"	0	3.3
2003	3	103070022	"Barth"	"Graben 44"	54.368420754341	12.7159304255493	"Freshwater"	0	6.5
2003	4	103070022	"Barth"	"Graben 44"	54.368420754341	12.7159304255493	"Freshwater"	0	10.2
2003	5	103070022	"Barth"	"Graben 44"	54.368420754341	12.7159304255493	"Freshwater"	0	13.8
2003	6	103070022	"Barth"	"Graben 44"	54.368420754341	12.7159304255493	"Freshwater"	0	14.5
2003	7	103070022	"Barth"	"Graben 44"	54.368420754341	12.7159304255493	"Freshwater"	0	18.6
2003	8	103070022	"Barth"	"Graben 44"	54.368420754341	12.7159304255493	"Freshwater"	0	18.8
2003	9	103070022	"Barth"	"Graben 44"	54.368420754341	12.7159304255493	"Freshwater"	0	14.3
2003	10	103070022	"Barth"	"Graben 44"	54.368420754341	12.7159304255493	"Freshwater"	0	9.2
2003	11	103070022	"Barth"	"Graben 44"	54.368420754341	12.7159304255493	"Freshwater"	0	9.2
2003	12	103070022	"Barth"	"Graben 44"	54.368420754341	12.7159304255493	"Freshwater"	0	6.6
2005	1	103050101	"DB1 Pramort"	"Barther Fahrwasser"	54.42	12.926671	"Coast"	11	2.9
2005	1	103050208	"DB2 Sundische Wiese"	"Grabow"	54.39167	12.838331	"Coast"	11.3	2.9
2005	1	103050603	"DB6 Barth oe."	"Barther Bodden"	54.395001	12.750001	"Coast"	9.8	2.6
2005	1	103051008	"DB10 Bodstedt n."	"Bodstedter Bodden"	54.395001	12.623331	"Coast"	7.9	2.7
2005	1	103051606	"DB16 Saal nw."	"Saaler Bodden"	54.335001	12.448331	"Coast"	4.9	3
2005	1	103059085	"KB90 Fahrwasser I.Libitz w."	"Kubitzer Bodden"	54.40167	13.105001	"Coast"	10.1833333333333	3.36666666666667
2005	1	103070014	"Barth"	"Barthe"	54.3663863698681	12.6874701057115	"Freshwater"	0	2.9
2005	1	105010285	"GB2 I.Vilm s."	"Greifswalder Bodden"	54.26667	13.516671	"Coast"	7.7	2.7
2005	1	105010306	"GB3 Daenische Wiek n."	"Daenische Wiek"	54.15	13.483331	"Coast"	7.7	2.9
2005	1	105010701	"GB7 Struck"	"Greifswalder Bodden"	54.20667	13.653331	"Coast"	7.65	3
2005	1	105011907	"GB19 Zentralbereich"	"Greifswalder Bodden"	54.20667	13.566671	"Coast"	7.8	3.25
2005	1	105210010	"Kemnitz"	"Westziese"	54.0850610286063	13.5276303287714	"Freshwater"	0	5.7
2005	1	105340014	"Greifswald"	"Ryck"	54.0988078716915	13.3762719023408	"Freshwater"	0	0.8
2005	1	109016609	"S66 Stralsund"	"Andershofer Bucht"	54.28667	13.131671	"Coast"	9.7	3.1
2005	1	109230015	"Prohn"	"Prohner Bach"	54.3710907369313	13.0235076949181	"Freshwater"	0	0.4
2005	1	111021001	"GB10 Ruden s."	"Greifswalder Bodden"	54.18833	13.775001	"Coast"	7.8	3.6
2005	1	111030108	"AW1 Trockenort"	"Achterwasser"	54.01667	13.958331	"Coast"	3	0.6
2005	1	111032085	"P20 Peenemuende s."	"Peenestrom"	54.121	13.773	"Coast"	4.85	0.4
2005	1	111034208	"P42 Wolgast s."	"Peenestrom"	54.023358	13.760763	"Coast"	4.95	0.6
