"simsID"	"fishID"	"quality"	"age"	"cohort"	"core"	"year"	"yearclass"	"increment_um"	"rad_um"
"01"	"BH-01758"	3	6	2014	154	0	0	0	0
"01"	"BH-01758"	3	6	2014	154	1	1	414.6	414.6
"01"	"BH-01758"	3	6	2014	154	2	2	421.5	836.1
"01"	"BH-01758"	3	6	2014	154	3	3	136.9	993
"01"	"BH-01758"	3	6	2014	154	4	4	140.7	1153.7
"01"	"BH-01758"	3	6	2014	154	5	5	100	1273.7
"01"	"BH-01758"	3	6	2014	154	6	6	100.5	1394.2
"01"	"BH-01758"	3	6	2014	154	7	7	64.2	1478.4
"03"	"BH-01719"	3	2	2018	326.3	0	0	0	0
"03"	"BH-01719"	3	2	2018	326.3	1	1	877.2	877.2
"03"	"BH-01719"	3	2	2018	326.3	2	2	441.9	1319.1
"03"	"BH-01719"	3	2	2018	326.3	3	3	0	1319.1
"04"	"BH-00670"	3	4	2016	201.9	0	0	0	0
"04"	"BH-00670"	3	4	2016	201.9	1	1	638	638
"04"	"BH-00670"	3	4	2016	201.9	2	2	329.7	967.7
"04"	"BH-00670"	3	4	2016	201.9	3	3	325.4	1293.1
"04"	"BH-00670"	3	4	2016	201.9	4	4	239.8	1532.9
"04"	"BH-00670"	3	4	2016	201.9	5	5	0	1532.9
"05"	"BH-01812"	3	7	2013	230.4	0	0	0	0
"05"	"BH-01812"	3	7	2013	230.4	1	1	537.6	537.6
"05"	"BH-01812"	3	7	2013	230.4	2	2	458.9	996.5
"05"	"BH-01812"	3	7	2013	230.4	3	3	290.5	1287
"05"	"BH-01812"	3	7	2013	230.4	4	4	159.7	1446.7
"05"	"BH-01812"	3	7	2013	230.4	5	5	203.3	1650
"05"	"BH-01812"	3	7	2013	230.4	6	6	206.3	1856.3
"05"	"BH-01812"	3	7	2013	230.4	7	7	170.5	2026.8
"05"	"BH-01812"	3	7	2013	230.4	8	8	0	2026.8
"06"	"BH-01867"	3	6	2014	357.2	0	0	0	0
"06"	"BH-01867"	3	6	2014	357.2	1	1	628	628
"06"	"BH-01867"	3	6	2014	357.2	2	2	426.9	1054.9
"06"	"BH-01867"	3	6	2014	357.2	3	3	198	1252.9
"06"	"BH-01867"	3	6	2014	357.2	4	4	162.6	1415.5
"06"	"BH-01867"	3	6	2014	357.2	5	5	182.7	1598.2
"06"	"BH-01867"	3	6	2014	357.2	6	6	165.8	1764
"06"	"BH-01867"	3	6	2014	357.2	7	7	0	1764
"07"	"BH-01814"	3	6	2014	120.7	0	0	0	0
